atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 20.01, 19.12, 19.64, Failure: Sturm sequence, 2.76, Failure: Sturm sequence, 2.75, Failure: Sturm sequence, 2.75,,
exp__NEG10dot0SEPsp10dot0_,  3820.942302553046, 3820.942302553046, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG14dot0SEPsp0dot0_,  .1250503754311599, .1250503754311599, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG17dot0SEPsp7dot3_,  296.4262061561382, 296.4262061561382, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG19dot23665353SEPsp8dot80904647_,  1468.3939142817164, 1468.3939142817164, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  1.1920928955092677e-23, 1.1920928955092677e-23, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG1dot9808864758038327SEPsp1dot0910803553751218_,  .0221153707525874, .0221153707525874, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG21dot849462813SEPsp8dot796647187_,  1528.3680317808407, 1528.3680317808407, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG22dot240841603SEPsp7dot979168397_,  669.4324950788697, 669.4324950788697, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG22dot708992501SEPsp9dot102017499_,  2118.2683893787653, 2118.2683893787653, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG25dot09723033SEPsp7dot60706967_,  482.335115878991, 482.335115878991, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG28dot628403883SEPsp7dot896446117_,  682.4869062882863, 682.4869062882863, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG2dot0SEPsp0dot0_,  2.2453631029715555e-3, 2.2453631029715555e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG30dot66747484225SEPsp6dot06971015775_,  110.15712561851674, 110.15712561851674, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG35dot6885972665SEPsp5dot5834977335_,  71.61996355514938, 71.61996355514938, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG3dot5136049906158564SEPsp0dot9863011805570789_,  .05151613109651968, .05151613109651968, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG3dot7568024953079284SEPsp0dot9179327838016329_,  .05246531863643334, .05246531863643334, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot0SEPsp2dot0_,  .2620508604720648, .2620508604720648, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot35SEPsp6dot05_,  37.15477004188773, 37.15477004188773, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot903325SEPsp4dot903325_,  10.891413890132924, 10.891413890132924, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG8dot0SEPsp8dot0_,  425.8213180051618, 425.8213180051618, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot06282SEPsp0dot50256_,  .03127196140304697, .03127196140304697, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot12564SEPsp1dot8846_,  .07951332363752181, .07951332363752181, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot25SEPsp0dot5_,  6.331619941701931e-4, 6.331619941701931e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot56538SEPsp0dot9423_,  1.3150449396906076e-4, 1.3150449396906076e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot75384SEPsp2dot5128_,  4.211699040693462e-3, 4.211699040693462e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
