cert_sin__0dot03SEPsp1dot5_, Theorem, 5.77, 5.83, 5.78
cert_sin__0dot0SEPsp0dot4_, Theorem, 6.20, 6.30, 6.22
cert_sin__0dot0SEPsp1dot5_, Theorem, 6.35, 6.23, 6.28
cert_sin__0dot0SEPsp3dot14_, Theorem, 6.00, 6.03, 5.93
cert_sin__0dot0SEPsp6dot28318530718_, Theorem, 6.73, 6.74, 6.64
cert_sin__0dot5SEPsp1dot0_, Theorem, 5.70, 5.82, 5.85
cert_sin__17dot0SEPsp18dot0_, GaveUp, 4.55, 4.66, 4.68
cert_sin__17dot0SEPsp21dot0_, GaveUp, 4.67, 4.65, 4.75
cert_sin__1dot0SEPsp3dot0_, Theorem, 5.85, 5.81, 5.96
cert_sin__1dot0SEPsp3dot1415_, Theorem, 5.71, 5.81, 5.75
cert_sin__2dot0SEPsp4dot0_, Theorem, 5.35, 5.42, 5.38
cert_sin__3dot0SEPsp5dot0_, GaveUp, 5.90, 5.85, 5.89
cert_sin__NEG10dot0SEPsp10dot0_, GaveUp, 8.80, 8.34, 8.10
cert_sin__NEG1dot57079632679SEPsp1dot57079632679_, Theorem, 6.83, 6.73, 6.73
cert_sin__NEG1dot570796SEPsp1dot570796_, Theorem, 6.96, 6.78, 6.87
cert_sin__NEG1dot57SEPsp1dot57_, Theorem, 6.83, 6.87, 7.07
cert_sin__NEG20dot0SEPspNEG18dot0_, GaveUp, 5.64, 5.14, 5.06
cert_sin__NEG2dot005SEPsp2dot0027015115293407_, Theorem, 6.83, 6.79, 6.91
cert_sin__NEG2dot025SEPsp2dot025_, Theorem, 6.73, 6.79, 6.70
cert_sin__NEG2dot0SEPsp2dot0_, Theorem, 6.69, 6.76, 6.70
cert_sin__NEG3dot0SEPsp3dot0_, Theorem, 6.73, 6.73, 6.75
cert_sin__NEG3dot14SEPsp3dot14_, Theorem, 6.81, 6.93, 7.05
cert_sin__NEG5dot0SEPsp5dot0_, Theorem, 6.91, 6.93, 6.98
cert_sin__NEG6dot2831853SEPspNEG0dot5_, Theorem, 7.06, 6.95, 6.86
cert_sin__NEG6dot28SEPsp6dot28_, Theorem, 7.20, 7.18, 7.11
cert_sin__NEG9dot42SEPsp9dot42_, GaveUp, 8.26, 8.30, 8.28

