atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 23.79, 22.47, 23.46, Valid error, 40.72, Valid error, 40.71, Valid error, 40.69,,
exp__0dot0SEPsp10dot0_,  317.3255547536584, 317.3255547536584, 25.54, 23.92, 25.70, Invalid zero IV:Bounding error too large, 254.16, Invalid zero IV:Bounding error too large, 254.14, Invalid zero IV:Bounding error too large, 254.09,,
exp__0dot0SEPsp1dot0910803553751218_,  2.022948907002197e-6, 2.022948907002197e-6, 95.84, 91.90, 93.82, Valid error, 266.03, Valid error, 266.08, Valid error, 265.90,,
exp__0dot0SEPsp1dot0ENEG8_,  8.690357208824804e-21, 8.690357208824804e-21, 47.83, 47.67, 47.50, Failure: Sturm sequence, 133.46, Failure: Sturm sequence, 133.39, Failure: Sturm sequence, 133.38,,
exp__0dot0SEPsp1dot0_,  1.1485362332412673e-6, 1.1485362332412673e-6, 24.60, 25.15, 25.81, Valid error, 265.22, Valid error, 265.45, Valid error, 265.74,,
exp__0dot0SEPsp2dot0_,  1.2307491648830146e-4, 1.2307491648830146e-4, 25.21, 24.46, 23.75, Valid error, 263.79, Valid error, 263.75, Valid error, 264.73,,
exp__0dot0SEPsp4dot903325_,  .2188163714773466, .2188163714773466, 37.86, 38.03, 38.35, Valid error, 267.27, Valid error, 267.53, Valid error, 267.77,,
exp__0dot0SEPsp5dot5834977335_,  .6579235444550762, .6579235444550762, 53.87, 53.66, 53.51, Valid error, 258.67, Valid error, 258.67, Valid error, 259.18,,
exp__0dot0SEPsp6dot05_,  1.3607796281097972, 1.3607796281097972, 28.70, 28.93, 28.65, Valid error, 234.04, Valid error, 234.37, Valid error, 234.53,,
exp__0dot0SEPsp6dot06971015775_,  1.4026773316564187, 1.4026773316564187, 58.56, 58.05, 57.90, Valid error, 252.17, Valid error, 252.05, Valid error, 252.26,,
exp__0dot0SEPsp7dot3_,  8.609310414296276, 8.609310414296276, 27.18, 27.41, 26.76, Valid error, 237.30, Valid error, 237.52, Valid error, 237.36,,
exp__0dot0SEPsp7dot60706967_,  13.275282007019609, 13.275282007019609, 47.40, 48.57, 48.12, Valid error, 258.58, Valid error, 259.35, Valid error, 258.27,,
exp__0dot0SEPsp7dot896446117_,  19.84084314843108, 19.84084314843108, 52.08, 53.22, 52.89, Valid error, 262.50, Valid error, 262.42, Valid error, 262.38,,
exp__0dot0SEPsp7dot979168397_,  22.23274506925582, 22.23274506925582, 51.11, 52.76, 51.93, Valid error, 254.04, Valid error, 254.10, Valid error, 254.19,,
exp__0dot0SEPsp8dot0_,  22.87940334872099, 22.87940334872099, 23.69, 23.50, 23.06, Valid error, 261.61, Valid error, 261.74, Valid error, 261.72,,
exp__0dot0SEPsp8dot796647187_,  66.89425271736866, 66.89425271736866, 51.99, 54.02, 53.10, Valid error, 264.62, Valid error, 264.72, Valid error, 264.70,,
exp__0dot0SEPsp8dot80904647_,  67.9998478272834, 67.9998478272834, 48.71, 49.83, 48.87, Valid error, 44.64, Valid error, 44.60, Valid error, 44.60,,
exp__0dot0SEPsp9dot102017499_,  99.95597221544033, 99.95597221544033, 55.69, 55.87, 56.60, Invalid zero IV:Bounding error too large, 46.25, Invalid zero IV:Bounding error too large, 46.20, Invalid zero IV:Bounding error too large, 46.21,,
exp__0dot1SEPsp1dot0_,  6.453202017364459e-7, 6.453202017364459e-7, 31.56, 32.31, 31.17, Valid error, 286.62, Valid error, 286.39, Valid error, 286.39,,
log__0dot06282SEPsp0dot50256_,  8.384663139242285e-3, 8.384663139242285e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot12564SEPsp1dot8846_,  2.5941013399694426e-2, 2.5941013399694426e-2, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot25SEPsp0dot5_,  8.72652264279115e-6, 8.72652264279115e-6, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot56538SEPsp0dot9423_,  1.4344959369839334e-6, 1.4344959369839334e-6, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot75384SEPsp2dot5128_,  2.2164995442972436e-4, 2.2164995442972436e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__1dot0003354626279024SEPsp2981dot9579870417288_,  1.2650188885352507, 1.2650188885352507, 864.83, 859.59, 862.68, Invalid zero IV:Bounding error too large, 24.44, Invalid zero IV:Bounding error too large, 24.44, Invalid zero IV:Bounding error too large, 24.43,,
log__1dot3688132250546616SEPsp2dot859140914229523_,  1.2495255185039157e-5, 1.2495255185039157e-5, 4212.96, 342.73, 694.49, Invalid zero IV:Did not find sufficient zeros, 21.42, Invalid zero IV:Did not find sufficient zeros, 22.10, Invalid zero IV:Did not find sufficient zeros, 22.09,,
log__32dot0SEPsp64dot0_,  8.70002653598179e-6, 8.70002653598179e-6, 87.00, 84.76, 85.43, Invalid zero IV:Bounding error too large, 22.76, Invalid zero IV:Bounding error too large, 22.23, Invalid zero IV:Bounding error too large, 22.21,,
sin__0dot01SEPsp0dot75_,  4.40333183368601e-8, 4.40333183368601e-8, 19.05, 20.78, 19.27, Valid error, 314.75, Valid error, 317.41, Valid error, 318.47,,
sin__0dot01SEPsp1dot5_,  5.021185344487e-6, 5.021185344487e-6, 20.29, 19.25, 18.62, Valid error, 318.72, Valid error, 316.73, Valid error, 316.39,,
sin__0dot01SEPsp1dot6_,  7.7686199882728e-6, 7.7686199882728e-6, 19.49, 17.90, 18.16, Valid error, 314.88, Valid error, 317.21, Valid error, 319.03,,
sin__0dot025SEPsp1dot525_,  5.333594839381648e-6, 5.333594839381648e-6, 20.73, 20.91, 20.59, Valid error, 325.07, Valid error, 323.68, Valid error, 323.72,,
sin__0dot02SEPsp3dot0_,  7.969146615393277e-4, 7.969146615393277e-4, 18.56, 17.98, 18.03, Valid error, 331.23, Valid error, 330.70, Valid error, 330.90,,
sin__0dot03SEPsp1dot5_,  4.681437390946149e-6, 4.681437390946149e-6, 18.19, 18.66, 17.70, Valid error, 313.25, Valid error, 313.38, Valid error, 313.34,,
sin__0dot0SEPsp0dot4_,  9.948082390547412e-10, 9.948082390547412e-10, 18.41, 19.70, 19.42, Valid error, 288.18, Valid error, 288.24, Valid error, 291.00,,
sin__0dot0SEPsp1dot5_,  5.197700721471884e-6, 5.197700721471884e-6, 20.03, 18.09, 18.30, Valid error, 283.52, Valid error, 283.91, Valid error, 282.91,,
sin__0dot0SEPsp3dot14_,  1.1635748764271489e-3, 1.1635748764271489e-3, 21.16, 20.97, 20.18, Valid error, 313.76, Valid error, 313.14, Valid error, 313.99,,
sin__0dot0SEPsp6dot28318530718_,  1.2678540342519112e-2, 1.2678540342519112e-2, 31.63, 29.87, 29.73, Valid error, 290.72, Valid error, 290.08, Valid error, 289.83,,
sin__0dot5SEPsp1dot0_,  8.883397195363706e-9, 8.883397195363706e-9, 19.34, 19.10, 19.12, Valid error, 325.24, Valid error, 326.26, Valid error, 324.57,,
sin__17dot0SEPsp18dot0_,  2.862007281214987e-6, 2.862007281214987e-6, 18.31, 18.68, 18.69, Invalid zero IV:Bounding error too large, 325.15, Invalid zero IV:Bounding error too large, 326.53, Invalid zero IV:Bounding error too large, 327.90,,
