cert_sin__0dot01SEPsp0dot75_, GaveUp, 5.70, 5.66, 5.78
cert_sin__0dot01SEPsp1dot5_, GaveUp, 5.54, 5.50, 5.54
cert_sin__0dot01SEPsp1dot6_, GaveUp, 5.52, 5.52, 5.51
cert_sin__0dot025SEPsp1dot525_, GaveUp, 5.47, 5.45, 5.49
cert_sin__0dot02SEPsp3dot0_, GaveUp, 5.28, 5.26, 5.29
cert_sin__0dot03SEPsp1dot5_, GaveUp, 5.55, 5.47, 5.52
cert_sin__0dot0SEPsp0dot4_, GaveUp, 7.26, 7.29, 7.38
cert_sin__0dot0SEPsp1dot5_, GaveUp, 6.24, 6.24, 6.22
cert_sin__0dot0SEPsp3dot14_, GaveUp, 6.24, 6.27, 6.24
cert_sin__0dot0SEPsp6dot28318530718_, GaveUp, 6.28, 6.31, 6.47
cert_sin__0dot0SEPsp7dot0_, GaveUp, 5.83, 5.82, 5.83
cert_sin__0dot5SEPsp1dot0_, GaveUp, 5.47, 5.45, 5.48
cert_sin__17dot0SEPsp18dot0_, GaveUp, 5.27, 5.25, 5.24
cert_sin__17dot0SEPsp21dot0_, GaveUp, 5.19, 5.18, 5.15
cert_sin__1dot0SEPsp3dot0_, GaveUp, 5.19, 5.15, 5.16
cert_sin__1dot0SEPsp3dot1415_, GaveUp, 5.22, 5.18, 5.21
cert_sin__2dot0SEPsp4dot0_, GaveUp, 4.99, 4.92, 4.97
cert_sin__3dot0SEPsp5dot0_, Theorem, 5.81, 5.85, 5.83
cert_sin__NEG10dot0SEPsp10dot0_, GaveUp, 6.75, 6.79, 6.74
cert_sin__NEG1dot57079632679SEPsp1dot57079632679_, GaveUp, 6.45, 6.42, 6.48
cert_sin__NEG1dot570796SEPsp1dot570796_, GaveUp, 6.41, 6.41, 6.46
cert_sin__NEG1dot57SEPsp1dot57_, GaveUp, 6.51, 6.47, 6.43
cert_sin__NEG20dot0SEPspNEG18dot0_, GaveUp, 4.99, 5.01, 5.07
cert_sin__NEG2dot005SEPsp2dot0027015115293407_, GaveUp, 6.49, 6.46, 6.49
cert_sin__NEG2dot025SEPsp2dot025_, GaveUp, 6.47, 6.47, 6.51
cert_sin__NEG2dot0SEPsp2dot0_, GaveUp, 6.80, 6.56, 6.57
cert_sin__NEG3dot0SEPsp3dot0_, GaveUp, 6.90, 7.19, 6.97
cert_sin__NEG3dot14SEPsp3dot14_, GaveUp, 6.79, 6.70, 6.67
cert_sin__NEG5dot0SEPsp5dot0_, GaveUp, 6.95, 6.91, 6.91
cert_sin__NEG6dot2831853SEPspNEG0dot5_, GaveUp, 6.12, 6.11, 6.18
cert_sin__NEG6dot28SEPsp6dot28_, GaveUp, 6.96, 6.87, 6.87
cert_sin__NEG9dot42SEPsp9dot42_, GaveUp, 6.75, 6.91, 6.82
cert_sqrt__0dot00482842712474619SEPsp48dot2842712474619_, Failure, 0.06, 0.08, 0.05
cert_sqrt__0dot1SEPsp1dot0_, Failure, 0.05, 0.04, 0.04
cert_sqrt__2dot0ENEG6SEPsp200dot0_, Failure, 0.05, 0.03, 0.04
cert_sqrt__2dot0SEPsp20000dot0_, Failure, 0.04, 0.06, 0.03
cert_tan__NEG1dot0SEPsp1dot0_, GaveUp, 8.11, 8.08, 8.05
cert_tan__NEG1dot1SEPsp0dot9_, GaveUp, 8.38, 8.33, 8.31
cert_tan__NEG1dot57079632679SEPsp1dot57079632679_, GaveUp, 4.93, 4.86, 4.92

