atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 19.41, 19.07, 20.65, Failure: Sturm sequence, 2.08, Failure: Sturm sequence, 2.06, Failure: Sturm sequence, 2.09,,
atan__NEG8dot790469077051837SEPsp8dot790469077051837_,  .35677593375639477, .35677593375639477, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
cos__0dot01SEPsp1dot5_,  1.3474942698965958e-3, 1.3474942698965958e-3, 18.03, 17.59, 17.65, Valid error, 1.40, Valid error, 1.36, Valid error, 1.36,,
cos__0dot02SEPsp1dot0_,  3.561338883991178e-4, 3.561338883991178e-4, 16.84, 17.85, 17.38, Valid error, 1.41, Valid error, 1.39, Valid error, 1.40,,
cos__0dot02SEPsp1dot5_,  1.3113042975000742e-3, 1.3113042975000742e-3, 17.09, 16.51, 17.71, Valid error, 1.38, Valid error, 1.37, Valid error, 1.37,,
cos__0dot02SEPsp3dot0_,  4.765374985460244e-3, 4.765374985460244e-3, 17.74, 17.91, 16.84, Valid error, 1.67, Valid error, 1.67, Valid error, 1.66,,
cos__0dot0SEPsp0dot4_,  1.10092188553155e-5, 1.10092188553155e-5, 17.48, 17.68, 18.27, Valid error, 1.39, Valid error, 1.38, Valid error, 1.38,,
cos__0dot0SEPsp1dot5_,  1.3845101599347697e-3, 1.3845101599347697e-3, 17.01, 17.90, 17.48, Valid error, 1.36, Valid error, 1.35, Valid error, 1.35,,
cos__0dot0SEPsp2dot0_,  3.0708967787525373e-3, 3.0708967787525373e-3, 16.14, 17.88, 18.01, Valid error, 1.30, Valid error, 1.29, Valid error, 1.29,,
cos__0dot0SEPsp3dot0_,  5.036120679386892e-3, 5.036120679386892e-3, 17.97, 18.02, 17.29, Valid error, 1.53, Valid error, 1.51, Valid error, 1.52,,
cos__0dot0SEPsp3dot14_,  5.061547028311285e-3, 5.061547028311285e-3, 18.87, 17.31, 17.80, Valid error, 1.63, Valid error, 1.62, Valid error, 1.62,,
cos__0dot0SEPsp6dot28318530718_,  .30645340983394, .30645340983394, 23.09, 23.23, 22.26, Invalid zero IV:Bounding error too large, 2.03, Invalid zero IV:Bounding error too large, 2.02, Invalid zero IV:Bounding error too large, 2.03,,
cos__0dot5SEPsp1dot0_,  1.484981379186843e-5, 1.484981379186843e-5, 18.03, 17.87, 17.56, Valid error, 1.34, Valid error, 1.32, Valid error, 1.32,,
cos__17dot0SEPsp18dot0_,  7.444204776600437e-5, 7.444204776600437e-5, 17.74, 16.64, 17.21, Invalid zero IV:Bounding error too large, 0.51, Invalid zero IV:Bounding error too large, 0.49, Invalid zero IV:Bounding error too large, 0.50,,
cos__1dot0SEPsp3dot1415_,  3.5954892316272264e-3, 3.5954892316272264e-3, 18.39, 19.48, 17.96, Valid error, 1.20, Valid error, 1.18, Valid error, 1.19,,
cos__1dot0SEPsp5dot0_,  .06819827454684343, .06819827454684343, 16.79, 17.53, 17.81, Valid error, 1.40, Valid error, 1.38, Valid error, 1.38,,
cos__2dot0SEPsp4dot0_,  5.288837141030409e-3, 5.288837141030409e-3, 17.93, 17.31, 17.04, Valid error, 1.38, Valid error, 1.38, Valid error, 1.38,,
cos__3dot0SEPsp5dot0_,  4.601660646765785e-3, 4.601660646765785e-3, 18.05, 17.73, 16.92, Valid error, 1.36, Valid error, 1.36, Valid error, 1.35,,
cos__NEG1dot0SEPsp3dot14_,  .04248310349557523, .04248310349557523, 2128.08, 2151.22, 2143.26, Valid error, 14.07, Valid error, 14.07, Valid error, 14.06,,
cos__NEG1dot1SEPsp0dot9_,  5.107219013178514e-3, 5.107219013178514e-3, 18.87, 18.68, 18.13, Valid error, 1.41, Valid error, 1.40, Valid error, 1.40,,
cos__NEG1dot5707830967865613SEPsp188495dot55921539583_,  1.0000000000000513, 1.0000000000000513, 44.74, 44.33, 43.35, Invalid zero IV:Bounding error too large, 21.39, Invalid zero IV:Bounding error too large, 21.38, Invalid zero IV:Bounding error too large, 21.40,,
