atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 19.41, 19.07, 20.65, Failure: Sturm sequence, 2.08, Failure: Sturm sequence, 2.06, Failure: Sturm sequence, 2.09,,
cos__NEG1dot57079632679SEPsp1dot57079632679_,  2.8346377840577603e-2, 2.8346377840577603e-2, 23.17, 23.65, 25.91, Valid error, 2.55, Valid error, 2.53, Valid error, 2.55,,
cos__NEG1dot57SEPsp1dot57_,  2.8292887138627987e-2, 2.8292887138627987e-2, 17.91, 19.00, 18.44, Valid error, 2.53, Valid error, 2.43, Valid error, 2.42,,
cos__NEG20dot0SEPspNEG18dot0_,  4.899040519805473e-3, 4.899040519805473e-3, 17.63, 18.00, 17.53, Invalid zero IV:Bounding error too large, 0.56, Invalid zero IV:Bounding error too large, 0.56, Invalid zero IV:Bounding error too large, 0.56,,
cos__NEG2dot0SEPsp2dot0_,  .06855669845039528, .06855669845039528, 19.55, 20.90, 18.09, Valid error, 2.56, Valid error, 2.59, Valid error, 2.54,,
cos__NEG3dot14159265SEPsp3dot14159265_,  .30629360594447014, .30629360594447014, 23.25, 25.53, 26.30, Valid error, 3.26, Valid error, 3.08, Valid error, 3.12,,
cos__NEG3dot14SEPsp3dot14_,  .30583502968799015, .30583502968799015, 19.97, 18.72, 19.84, Valid error, 2.66, Valid error, 2.69, Valid error, 2.69,,
cos__NEG5dot0SEPsp5dot0_,  .8664898486244124, .8664898486244124, 18.57, 19.71, 18.72, Valid error, 2.78, Valid error, 2.75, Valid error, 2.79,,
cos__NEG6dot2831853SEPspNEG0dot5_,  .2326143096269153, .2326143096269153, 21.28, 21.60, 21.31, Invalid zero IV:Bounding error too large, 1.59, Invalid zero IV:Bounding error too large, 1.59, Invalid zero IV:Bounding error too large, 1.60,,
cos__NEG6dot28SEPsp6dot28_,  1.0000010045399366, 1.0000010045399366, 20.93, 19.12, 19.14, Invalid zero IV:Bounding error too large, 3.14, Invalid zero IV:Bounding error too large, 3.16, Invalid zero IV:Bounding error too large, 3.13,,
exp__0dot0SEPsp0dot5_,  2.6225340865844096e-5, 2.6225340865844096e-5, 27.19, 26.15, 25.99, Invalid zero IV:Bounding error too large, 1.60, Invalid zero IV:Bounding error too large, 1.61, Invalid zero IV:Bounding error too large, 1.59,,
exp__0dot1SEPsp1dot0_,  6.377869866699488e-4, 6.377869866699488e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG0dot9999987317275396SEPsp1dot0_,  6.035872927860005e-3, 6.035872927860005e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG10dot0SEPsp10dot0_,  3820.9419842937505, 3820.9419842937505, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG14dot0SEPsp0dot0_,  .12505044494342787, .12505044494342787, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG17dot0SEPsp7dot3_,  296.4261657618252, 296.4261657618252, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG19dot23665353SEPsp8dot80904647_,  1468.3939134439725, 1468.3939134439725, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  1.1920928955092677e-23, 1.1920928955092677e-23, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG1dot9808864758038327SEPsp1dot0910803553751218_,  2.2115330092851035e-2, 2.2115330092851035e-2, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG21dot849462813SEPsp8dot796647187_,  1528.367886454188, 1528.367886454188, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG22dot240841603SEPsp7dot979168397_,  669.4324983160683, 669.4324983160683, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG22dot708992501SEPsp9dot102017499_,  2118.268412138072, 2118.268412138072, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG25dot09723033SEPsp7dot60706967_,  482.3351550636516, 482.3351550636516, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG28dot628403883SEPsp7dot896446117_,  682.487002620993, 682.487002620993, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG2dot0SEPsp0dot0_,  2.2453610219093654e-3, 2.2453610219093654e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG30dot66747484225SEPsp6dot06971015775_,  110.15714234435428, 110.15714234435428, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG35dot6885972665SEPsp5dot5834977335_,  71.61997175301238, 71.61997175301238, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG3dot5136049906158564SEPsp0dot9863011805570789_,  .05151615201145764, .05151615201145764, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG3dot7568024953079284SEPsp0dot9179327838016329_,  .05246533907326996, .05246533907326996, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot0SEPsp2dot0_,  .2620510348845584, .2620510348845584, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot35SEPsp6dot05_,  37.154769295015015, 37.154769295015015, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG4dot903325SEPsp4dot903325_,  10.891412608913715, 10.891412608913715, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
exp__NEG8dot0SEPsp8dot0_,  425.8212852493991, 425.8212852493991, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot06282SEPsp0dot50256_,  3.1271943724091034e-2, 3.1271943724091034e-2, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot12564SEPsp1dot8846_,  .07951331412323939, .07951331412323939, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot25SEPsp0dot5_,  6.331465470222337e-4, 6.331465470222337e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot56538SEPsp0dot9423_,  1.3151458612015477e-4, 1.3151458612015477e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__0dot75384SEPsp2dot5128_,  4.2117318151188654e-3, 4.2117318151188654e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__1dot0003354626279024SEPsp2981dot9579870417288_,  1.5977573182510447, 1.5977573182510447, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__1dot3688132250546616SEPsp2dot859140914229523_,  7.660693960473648e-4, 7.660693960473648e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__32dot0SEPsp64dot0_,  5.373880603471853e-4, 5.373880603471853e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sin__0dot01SEPsp0dot75_,  3.627009773730017e-5, 3.627009773730017e-5, 19.25, 19.25, 18.93, Valid error, 1.73, Valid error, 1.80, Valid error, 1.81,,
sin__0dot01SEPsp1dot5_,  1.2578739350244637e-3, 1.2578739350244637e-3, 18.50, 19.50, 19.33, Valid error, 1.83, Valid error, 1.77, Valid error, 1.73,,
sin__0dot01SEPsp1dot6_,  1.6557148605238327e-3, 1.6557148605238327e-3, 19.29, 19.06, 18.90, Valid error, 1.69, Valid error, 1.70, Valid error, 1.70,,
sin__0dot025SEPsp1dot525_,  1.310654648544113e-3, 1.310654648544113e-3, 19.74, 20.33, 19.67, Valid error, 1.78, Valid error, 1.77, Valid error, 1.75,,
sin__0dot02SEPsp3dot0_,  2.3307464189066072e-2, 2.3307464189066072e-2, 18.39, 19.41, 19.43, Valid error, 1.74, Valid error, 1.70, Valid error, 1.73,,
sin__0dot03SEPsp1dot5_,  1.2098391013344288e-3, 1.2098391013344288e-3, 19.12, 19.34, 19.23, Valid error, 1.79, Valid error, 1.75, Valid error, 1.78,,
sin__0dot0SEPsp0dot4_,  1.6696611350311884e-6, 1.6696611350311884e-6, 19.57, 18.96, 18.41, Valid error, 1.83, Valid error, 1.83, Valid error, 1.84,,
sin__0dot0SEPsp1dot5_,  1.2822573722641318e-3, 1.2822573722641318e-3, 18.75, 18.82, 18.59, Valid error, 1.64, Valid error, 1.68, Valid error, 1.64,,
sin__0dot0SEPsp3dot14_,  2.8366296865950623e-2, 2.8366296865950623e-2, 19.76, 18.88, 18.83, Valid error, 1.96, Valid error, 1.93, Valid error, 1.98,,
sin__0dot0SEPsp6dot28318530718_,  .10684813697473342, .10684813697473342, 24.05, 24.30, 24.16, Invalid zero IV:Bounding error too large, 2.11, Invalid zero IV:Bounding error too large, 2.11, Invalid zero IV:Bounding error too large, 2.11,,
sin__0dot0SEPsp7dot0_,  .2368047861697768, .2368047861697768, 18.29, 18.39, 18.42, Invalid zero IV:Bounding error too large, 2.07, Invalid zero IV:Bounding error too large, 2.06, Invalid zero IV:Bounding error too large, 2.05,,
sin__0dot5SEPsp1dot0_,  1.383696781327959e-5, 1.383696781327959e-5, 19.27, 19.14, 18.51, Valid error, 1.69, Valid error, 1.73, Valid error, 1.71,,
sin__17dot0SEPsp18dot0_,  3.1374046728825406e-4, 3.1374046728825406e-4, 18.90, 17.84, 17.64, Invalid zero IV:Bounding error too large, 0.52, Invalid zero IV:Bounding error too large, 0.52, Invalid zero IV:Bounding error too large, 0.54,,
sin__17dot0SEPsp21dot0_,  .01972220739274104, .01972220739274104, 17.94, 17.60, 18.04, Invalid zero IV:Bounding error too large, 0.46, Invalid zero IV:Bounding error too large, 0.54, Invalid zero IV:Bounding error too large, 0.45,,
sin__1dot0SEPsp3dot0_,  4.928403600408423e-3, 4.928403600408423e-3, 18.94, 18.60, 18.70, Valid error, 1.71, Valid error, 1.70, Valid error, 1.69,,
sin__1dot0SEPsp3dot1415_,  6.1675331147526425e-3, 6.1675331147526425e-3, 20.51, 19.60, 19.46, Valid error, 1.78, Valid error, 1.76, Valid error, 1.73,,
sin__2dot0SEPsp4dot0_,  1.7281625405738917e-3, 1.7281625405738917e-3, 18.96, 18.18, 17.98, Valid error, 1.57, Valid error, 1.58, Valid error, 1.54,,
sin__3dot0SEPsp5dot0_,  4.331481032188618e-3, 4.331481032188618e-3, 16.99, 17.13, 16.77, Valid error, 1.54, Valid error, 1.53, Valid error, 1.53,,
sin__NEG10dot0SEPsp10dot0_,  1.000000021694718, 1.000000021694718, 18.08, 17.58, 18.22, Invalid zero IV:Bounding error too large, 3.95, Invalid zero IV:Bounding error too large, 3.84, Invalid zero IV:Bounding error too large, 3.83,,
sin__NEG1dot57079632679SEPsp1dot57079632679_,  4.857053401147902e-3, 4.857053401147902e-3, 23.66, 23.63, 23.35, Valid error, 2.74, Valid error, 2.74, Valid error, 2.74,,
sin__NEG1dot570796SEPsp1dot570796_,  4.857056636315832e-3, 4.857056636315832e-3, 19.30, 19.39, 18.96, Valid error, 2.73, Valid error, 2.72, Valid error, 2.72,,
sin__NEG1dot57SEPsp1dot57_,  4.845973913670921e-3, 4.845973913670921e-3, 19.92, 17.87, 18.47, Valid error, 2.55, Valid error, 2.53, Valid error, 2.53,,
sin__NEG20dot0SEPspNEG18dot0_,  9.88226393104129e-4, 9.88226393104129e-4, 18.09, 16.74, 17.37, Invalid zero IV:Bounding error too large, 0.54, Invalid zero IV:Bounding error too large, 0.53, Invalid zero IV:Bounding error too large, 0.53,,
sin__NEG2dot005SEPsp2dot0027015115293407_,  1.4700939431053574e-2, 1.4700939431053574e-2, 18.16, 18.30, 18.66, Valid error, 2.64, Valid error, 2.63, Valid error, 2.64,,
sin__NEG2dot025SEPsp2dot025_,  1.5378742103178746e-2, 1.5378742103178746e-2, 18.75, 17.69, 17.60, Valid error, 2.51, Valid error, 2.51, Valid error, 2.51,,
sin__NEG2dot0SEPsp2dot0_,  1.4535420792568539e-2, 1.4535420792568539e-2, 17.95, 16.78, 16.81, Valid error, 2.56, Valid error, 2.55, Valid error, 2.54,,
sin__NEG3dot0SEPsp3dot0_,  .0871286476993271, .0871286476993271, 17.48, 18.19, 17.68, Valid error, 3.19, Valid error, 3.17, Valid error, 3.17,,
sin__NEG3dot14SEPsp3dot14_,  .10533983762701193, .10533983762701193, 18.21, 18.25, 17.03, Valid error, 3.12, Valid error, 3.12, Valid error, 3.11,,
sin__NEG5dot0SEPsp5dot0_,  .5448647960350327, .5448647960350327, 17.99, 18.71, 17.45, Valid error, 2.97, Valid error, 2.97, Valid error, 2.96,,
sin__NEG6dot2831853SEPspNEG0dot5_,  .10667978837666216, .10667978837666216, 21.27, 20.61, 21.74, Invalid zero IV:Bounding error too large, 1.94, Invalid zero IV:Bounding error too large, 1.91, Invalid zero IV:Bounding error too large, 1.92,,
sin__NEG6dot28SEPsp6dot28_,  .8716395056492899, .8716395056492899, 17.53, 18.46, 17.64, Invalid zero IV:Bounding error too large, 2.52, Invalid zero IV:Bounding error too large, 2.51, Invalid zero IV:Bounding error too large, 2.50,,
sin__NEG9dot42SEPsp9dot42_,  1.0000001050853686, 1.0000001050853686, 18.77, 18.39, 17.70, Invalid zero IV:Bounding error too large, 3.11, Invalid zero IV:Bounding error too large, 3.10, Invalid zero IV:Bounding error too large, 3.09,,
sqrt__0dot00482842712474619SEPsp48dot2842712474619_,  .2965360761812585, .2965360761812585, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__0dot1SEPsp1dot0_,  4.0462525291769785e-3, 4.0462525291769785e-3, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__2dot0ENEG6SEPsp200dot0_,  .6513757884829545, .6513757884829545, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sqrt__2dot0SEPsp20000dot0_,  6.035171575306138, 6.035171575306138, 23.55, 22.25, 22.90, Invalid zero IV:Bounding error too large, 2.07, Invalid zero IV:Bounding error too large, 2.06, Invalid zero IV:Bounding error too large, 2.06,,
tan__NEG1dot0SEPsp1dot0_,  2.0703331035628544e-2, 2.0703331035628544e-2, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
tan__NEG1dot1SEPsp0dot9_,  .0424474750549174, .0424474750549174, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
tan__NEG1dot57079632679SEPsp1dot57079632679_,  102334785525.08278, 102334785525.08278, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,

